Vehicle_1,Vehicle_2,Vehicle_3,Actual_Winner,Lane,Lap_1_Track,Lap_1_Len,Lap_2_Track,Lap_2_Len,Lap_3_Track,Lap_3_Len,Predicted_Winner,Top_Prob,Was_Correct,Timestamp,Sim_Predicted_Winner,ML_Predicted_Winner,Sim_Top_Prob,ML_Top_Prob,Sim_Was_Correct,ML_Was_Correct
ORV,Sports Car,Monster Truck,ORV,Lap 1,Bumpy,25.0,Bumpy,25.0,Dirt,50.0,,,,,,,,,,
ORV,Car,Monster Truck,Car,Lap 3,Highway,70.0,Highway,10.0,Potholes,20.0,,,,,,,,,,
Sports Car,Motorcycle,Supercar,Motorcycle,Lap 1,Potholes,35.0,Potholes,35.0,Bumpy,30.0,,,,,,,,,,
Sports Car,ORV,Car,ORV,Lap 1,Desert,20.0,Bumpy,60.0,Potholes,20.0,,,,,,,,,,
Stock Car,Car,SUV,Stock Car,Lap 2,Potholes,40.0,Desert,20.0,Highway,40.0,,,,,,,,,,
ATV,Motorcycle,Sports Car,ATV,Lap 3,Potholes,60.0,Desert,30.0,Bumpy,10.0,,,,,,,,,,
Monster Truck,Stock Car,ORV,Monster Truck,Lap 3,Expressway,10.0,Highway,80.0,Potholes,10.0,,,,,,,,,,
Sports Car,Stock Car,ORV,Stock Car,Lap 1,Dirt,20.0,Highway,50.0,Potholes,30.0,,,,,,,,,,
ATV,Motorcycle,ORV,ORV,Lap 2,Desert,20.0,Bumpy,70.0,Desert,10.0,,,,,,,,,,
SUV,Motorcycle,Sports Car,SUV,Lap 1,Bumpy,20.0,Highway,20.0,Dirt,60.0,,,,,,,,,,
ORV,Motorcycle,ATV,Motorcycle,Lap 1,Potholes,25.0,Highway,50.0,Potholes,25.0,,,,,,,,,,
Stock Car,ORV,Sports Car,ORV,Lap 2,Expressway,30.0,Potholes,35.0,Expressway,35.0,,,,,,,,,,
Motorcycle,Car,ORV,ORV,Lap 1,Bumpy,10.0,Desert,40.0,Dirt,50.0,,,,,,,,,,
Stock Car,Supercar,ATV,Supercar,Lap 3,Highway,20.0,Dirt,30.0,Highway,50.0,,,,,,,,,,
Motorcycle,Monster Truck,SUV,SUV,Lap 1,Bumpy,10.0,Dirt,45.0,Dirt,45.0,,,,,,,,,,
ATV,ORV,Car,ORV,Lap 3,Bumpy,20.0,Dirt,60.0,Desert,20.0,,,,,,,,,,
ORV,Monster Truck,SUV,SUV,Lap 1,Dirt,10.0,Dirt,80.0,Highway,10.0,,,,,,,,,,
Supercar,Car,SUV,SUV,Lap 3,Bumpy,10.0,Potholes,70.0,Expressway,20.0,Supercar,0.9937990062009938,0.0,,,,,,,
Monster Truck,Motorcycle,ORV,Monster Truck,Lap 2,Potholes,30.0,Potholes,40.0,Expressway,30.0,ORV,0.999998000004,0.0,,,,,,,
Motorcycle,ATV,Stock Car,Stock Car,Lap 2,Desert,80.0,Expressway,10.0,Desert,10.0,Stock Car,0.6721993278006723,1.0,,,,,,,
Supercar,SUV,ORV,SUV,Lap 1,Desert,20.0,Expressway,70.0,Bumpy,10.0,SUV,0.8286,1.0,,,,,,,
Motorcycle,Sports Car,Car,Car,Lap 2,Expressway,60.0,Potholes,20.0,Potholes,20.0,Car,0.564,1.0,,,,,,,
SUV,Stock Car,Monster Truck,Monster Truck,Lap 3,Potholes,35.0,Potholes,35.0,Expressway,30.0,SUV,0.999998000004,0.0,,,,,,,
ATV,SUV,Car,ATV,Lap 2,Highway,30.0,Potholes,30.0,Potholes,40.0,SUV,0.999998000004,0.0,,,,,,,
Stock Car,ATV,SUV,Stock Car,Lap 2,Desert,30.0,Potholes,40.0,Highway,30.0,SUV,0.999998000004,0.0,,,,,,,
Supercar,Sports Car,SUV,SUV,Lap 3,Potholes,10.0,Bumpy,80.0,Dirt,10.0,Supercar,0.7483992516007484,0.0,,,,,,,
Sports Car,Supercar,ORV,ORV,Lap 2,Potholes,45.0,Potholes,45.0,Desert,10.0,Supercar,0.9195990804009196,0.0,,,,,,,
Monster Truck,Stock Car,Supercar,Monster Truck,Lap 1,Potholes,15.0,Desert,15.0,Expressway,70.0,Monster Truck,0.5224,1.0,2025-12-24 22:12:22.312930,,,,,,
Stock Car,Motorcycle,Supercar,Motorcycle,Lap 1,Expressway,15.0,Potholes,60.0,Expressway,25.0,Supercar,0.9306,0.0,2025-12-24 22:13:26.101714,,,,,,
ATV,Motorcycle,Stock Car,Stock Car,Lap 2,Highway,60.0,Desert,20.0,Bumpy,20.0,Motorcycle,0.8627991372008627,0.0,2025-12-24 22:14:28.937663,,,,,,
Motorcycle,Car,Stock Car,Car,Lap 2,Potholes,40.0,Bumpy,20.0,Dirt,40.0,Stock Car,0.5952,0.0,2025-12-24 22:17:41.167421,,,,,,
ORV,Motorcycle,ATV,ATV,Lap 1,Potholes,30.0,Desert,50.0,Dirt,20.0,ORV,0.999998000004,0.0,2025-12-24 22:18:41.618177,,,,,,
ORV,Monster Truck,ATV,Monster Truck,Lap 2,Potholes,45.0,Potholes,45.0,Expressway,10.0,ORV,0.9993990006009994,0.0,2025-12-24 22:19:52.355905,,,,,,
Stock Car,Sports Car,SUV,Stock Car,Lap 2,Bumpy,30.0,Bumpy,35.0,Potholes,35.0,SUV,0.9988,0.0,2025-12-24 22:22:01.274337,,,,,,
ATV,Sports Car,Supercar,Sports Car,Lap 3,Dirt,40.0,Expressway,50.0,Bumpy,10.0,Sports Car,0.9906,1.0,2025-12-24 22:26:15.721976,,,,,,
Car,Motorcycle,Stock Car,Motorcycle,Lap 3,Potholes,40.0,Potholes,50.0,Bumpy,10.0,Car,0.5432,0.0,2025-12-24 22:27:11.100074,,,,,,
Monster Truck,SUV,Car,SUV,Lap 1,Expressway,20.0,Desert,40.0,Desert,40.0,SUV,0.7542,1.0,2025-12-24 22:28:38.661436,,,,,,
Stock Car,SUV,ORV,Stock Car,Lap 3,Expressway,10.0,Desert,80.0,Expressway,10.0,SUV,0.6434186091643082,0.0,2025-12-24 22:29:19.227945,,,,,,
Car,SUV,Supercar,Car,Lap 3,Potholes,15.0,Expressway,70.0,Bumpy,15.0,SUV,0.9142109832193128,0.0,2025-12-24 22:30:30.850826,,,,,,
ORV,Car,Supercar,ORV,Lap 3,Desert,45.0,Highway,35.0,Expressway,20.0,Car,0.6762453311478065,0.0,2025-12-24 22:31:33.955947,,,,,,
Monster Truck,SUV,ATV,Monster Truck,Lap 1,Expressway,30.0,Potholes,60.0,Bumpy,10.0,SUV,0.8569384554467077,0.0,2025-12-24 22:32:49.634003,,,,,,
ATV,SUV,Monster Truck,SUV,Lap 3,Highway,30.0,Dirt,40.0,Highway,30.0,Monster Truck,0.517835070081061,0.0,2025-12-24 22:33:41.421982,,,,,,
SUV,Monster Truck,Car,Car,Lap 2,Expressway,40.0,Highway,30.0,Highway,30.0,SUV,0.6912529949658196,0.0,2025-12-24 22:34:45.934234,,,,,,
